USERNAME MOBILE;TYPE SALESMAN ;KODE SALESMAN;ID
singosari2;EXCLUSIVE MT-GT;SF-UDN024-019;SINGOSARI2
singosari3;TIDAK AKTIF;TIDAK AKTIF;SINGOSARI3
probolinggo3;TIDAK AKTIF;TIDAK AKTIF;PROBOLINGGO3
surabaya1;EXCLUSIVE MT;SF-UDN011-024;SURABAYA1
surabaya2;EXCLUSIVE MT-GT;SF-UDN011-018;SURABAYA2
surabaya3;TIDAK AKTIF;TIDAK AKTIF;SURABAYA3
surabaya4;MIX GT;SF-UDN011-021;SURABAYA4
surabaya5;MIX GT;SF-UDN030-169;SURABAYA5
surabaya6;TIDAK AKTIF;TIDAK AKTIF;SURABAYA6
taman1;TIDAK AKTIF;TIDAK AKTIF;TAMAN1
tulungagung1;TIDAK AKTIF;TIDAK AKTIF;TULUNGAGUNG1
tulungagung2;EXCLUSIVE MT-GT;SF-UDN025-028;TULUNGAGUNG2
tulungagung3;TIDAK AKTIF;TIDAK AKTIF;TULUNGAGUNG3
tulungagung4;EXCLUSIVE MT-GT;SF-UDN025-017;TULUNGAGUNG4
sumedang2;MIX GT;SF-SDNSMD-167;SUMEDANG2
subang2;MIX GT;SF-SDNSBG-457;SUBANG2
jakartatimur1;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR1
jakartatimur2;TIDAK AKTIF;TIDAK AKTIF;JAKARTATIMUR2
jakartatimur3;EXCLUSIVE MT;SF-DAS-0304TO077;JAKARTATIMUR3
bekasi1;EXCLUSIVE GT;SF-SDBKS-530;BEKASI1
bekasi2;EXCLUSIVE GT;SF-SDBKS-275;BEKASI2
bekasi3;EXCLUSIVE GT;SF-SDBKS-466;BEKASI3
bekasi4;TIDAK AKTIF;TIDAK AKTIF;BEKASI4
karawang1;EXCLUSIVE MT;SF-KIS-171;KARAWANG1
karawang2;MIX GT;SF-KIS-216;KARAWANG2
karawang3;EXCLUSIVE GT;SF-KIS-79;KARAWANG3
karawang4;TIDAK AKTIF;TIDAK AKTIF;KARAWANG4
bogor1;EXCLUSIVE MT;SF-IPSB-0201TO082;BOGOR1
bogor2;TIDAK AKTIF;TIDAK AKTIF;BOGOR2
bogor3;EXCLUSIVE GT;SF-IPSB-0201TO084;BOGOR3
bogor4;EXCLUSIVE GT;SF-IPSB-0201TO075;BOGOR4
bogor5;TIDAK AKTIF;TIDAK AKTIF;BOGOR5
bogor6;EXCLUSIVE GT;SF-IPSB-0201TO089;BOGOR6
bogor7;TIDAK AKTIF;TIDAK AKTIF;BOGOR7
depok1;EXCLUSIVE GT;SF-IPSD-0601TO007;DEPOK1
depok2;TIDAK AKTIF;TIDAK AKTIF;DEPOK2
depok3;EXCLUSIVE GT;SF-IPSD-0601TO048;DEPOK3
lenteng1;TIDAK AKTIF;TIDAK AKTIF;LENTENG1
