NAMA SALESMAN;USERNAME VIRTUSEE;STORE NAME;REFFERENCE CODE;STORE CODE;SPV GLICO;REGION;DISTRIBUTOR;DEPO;ACTUAL TVP;
MIX 1 PRT - BEBEN ;rangkasbitung1;PAK UUS;MJP02RKBPAKU9001;PAKU9001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ABANG FAZRI;MJP02RKBPUTR0007;PUTR0007;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SINAR RIZKY;MJP02RKBSINA0029;SINA0029;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SUNDA;MJP02RKBSUND0001;SUND0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;BAGUS;MJP02RKBBAGU0009;BAGU0009;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;ENDIN, TK;MJP02RKBENDI0001;ENDI0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;HARAPAN PUTRA;MJP02RKBHARA0005;HARA0005;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;KHOLID/ ALI, TK;MJP02RKBKHOL0001;KHOL0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PADRI NASUTION, TK;MJP02RKBPADR0001;PADR0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;PUTRA KEMBAR 2;MJP02RKBPUTR0040;PUTR0040;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;TK.RAJA POPOK;MJP02RKBRAJA9002;RAJA9002;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;RIKA;MJP02RKBRIKA0004;RIKA0004;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;RUKUN ;MJP02RKBRUKU0003;RUKU0003;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;SENTOSA 3;MJP02RKBSENT0009;SENT0009;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
MIX 1 PRT - BEBEN ;rangkasbitung1;UMING, TK;MJP02RKBUMIN0001;UMIN0001;ANGGA SANJAYA;JABODETABEK 2;PT MITRA JAYA PERSADA;RANGKASBITUNG;;
